name,current_bid,opening_bid,estimate_bid,buy_it_now,end_time,description,images,url,commission,vat_rate,has_buy_it_now,has_estimate,has_current_bid,has_opening_bid
"AS NEW MICROSOFT SURFACE LAPTOP GO 3 LAPTOP IN ICE BLUE WITH INTEL CORE I5 12TH GEN CPU, 16GB RAM, 2",None,200,200 GBP - 300 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:00 GMT","As new Microsoft Surface Laptop Go 3 Laptop in Ice Blue with Intel Core i5 12th Gen CPU, 16GB RAM, 256GB SSD (Box sealed) (P/N: XKQ-00061 S/N: 0B33DRD24303GP EAN: 196388184965).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/0e631729-f927-4d29-b9a2-b2810103fbd8.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-71da4989-b248-4abd-bb09-b28000e5efca,25.00,20.00,,TRUE,TRUE,TRUE
"AS NEW SAMSUNG GALAXY TAB A9+ SM-X210 11"" WI-FI 64GB TABLET IN GRAPHITE (EAN: 8806095488868) (BOX SE",30,35,30 GBP - 50 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:00 GMT","As new Samsung Galaxy Tab A9+ SM-X210 11"" Wi-Fi 64GB Tablet in Graphite (EAN: 8806095488868) (Box sealed, some damage to packaging).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/1a02513b-7790-43e6-86ab-b2810103fe25.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-06617433-d571-49a3-860c-b28000e5f145,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW GPS NETWORKING EQUIPMENT: L1/L2VGPNRRKAMP-T/5.0/240 VARIABLE GAIN NETWORKED RE-RADIATING AMPL,None,220,220 GBP - 260 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT","As new GPS Networking Equipment: L1/L2VGPNRRKAMP-T/5.0/240 Variable Gain Networked Re-Radiating Amplifier, LDCBS1X2-T Passive 1x2 Splitter, L1/L2GRRKPA-T - L1/L2 Galileo Glonass Passive GPS Antenna",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/38fc441a-f5b8-4c58-b8b9-b2810103fedc.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-ed44eec8-9a44-4933-99c2-b28000e5f1a8,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/f807418d-14f6-41de-a66e-b28200c40fd3.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-e6d44a9a-b203-4e52-b503-b28000e5f237,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/caab163a-0561-4761-9e8a-b28200c4276f.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-2f82838a-7989-4433-8710-b28000e5f2ac,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:01 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/d34f4f5e-b275-4b30-94f1-b28200c4340d.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-4975ca32-1a84-4596-9d13-b28000e5f319,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/d7e19a80-b3e3-4c70-a4fe-b28200c43ccc.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-76f92a7b-09bf-4c41-8df4-b28000e5f382,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW HID SIGNO 40 SMARTCARD READER (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,6,7,5 GBP - 10 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",As new HID Signo 40 Smartcard Reader (P/N: 40NKS-02-0002BL) (EAN: 639399034572).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/58404a63-bef5-49bd-ac28-b28200c446a0.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-4e1bc3c8-0382-4d02-86f8-b28000e5f3f3,25.00,20.00,,TRUE,TRUE,TRUE
PRE-OWNED CISCO MERAKI MR33 DUAL-BAND WIRELESS ACCESS POINT (P/N: MR33-HW) (UN-REGISTERED. BOXED).,None,20,20 GBP - 40 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",Pre-owned Cisco Meraki MR33 Dual-Band Wireless Access Point (P/N: MR33-HW) (Un-registered. Boxed).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/bbc06d8b-1c39-448c-96ce-b28101040353.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-fee2288b-4193-4e6d-a2ff-b28000e5f473,25.00,20.00,,TRUE,TRUE,TRUE
PRE-OWNED CISCO MERAKI MR33 DUAL-BAND WIRELESS ACCESS POINT (P/N: MR33-HW) (UN-REGISTERED. BOXED).,None,20,20 GBP - 40 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:02 GMT",Pre-owned Cisco Meraki MR33 Dual-Band Wireless Access Point (P/N: MR33-HW) (Un-registered. Boxed).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/c0fd136c-427b-4424-99ef-b2810104041b.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-f5457a36-b59f-45f2-85ac-b28000e5f4d1,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW SENNHEISER HD 250BT WIRELESS HEADPHONES (EAN: 4044155252507).,15,16,15 GBP - 30 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:03 GMT",As new Sennheiser HD 250BT Wireless Headphones (EAN: 4044155252507).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/418806a8-b38f-433d-ac15-b28101040527.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-43661b45-6258-4e82-af93-b28000e5f555,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW SENNHEISER ACCENTUM WIRELESS ANC HEADPHONES (EAN: 4260752330558).,30,35,30 GBP - 50 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:04 GMT",As new Sennheiser ACCENTUM Wireless ANC Headphones (EAN: 4260752330558).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/cdfa7151-094c-4d84-9983-b281010edb1d.png?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-9cb253ef-8d0c-44a4-b0a7-b28000e5f72f,25.00,20.00,,TRUE,TRUE,TRUE
"AS NEW LENOVO IDEAPAD SLIM 3 14"" FHD LAPTOP IN ABYSS BLUE WITH INTEL N100, 4GB RAM, 128GB SSD, WINDO",30,35,30 GBP - 50 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:04 GMT","As new Lenovo IdeaPad Slim 3 14"" FHD Laptop in Abyss Blue with Intel N100, 4GB RAM, 128GB SSD, Windows 11 Home in S mode (Box open, UK charger included) (EAN:197530716515 S/N: SPF4LP3FD).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/8b1f5c9c-0a62-4b8d-a2fe-b281010407ef.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-a99f4678-4d5d-4651-97b0-b28000e5f7ba,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW EXTRON IPCP PRO 250 XI IPCP PRO XI CONTROL PROCESSOR (P/N: 60-1911-01) (DAMAGED BOX).,None,40,40 GBP - 60 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:06 GMT",As new Extron IPCP Pro 250 xi IPCP Pro xi Control Processor (P/N: 60-1911-01) (Damaged box).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/d77b14fb-70c6-414a-acce-b28101040c46.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-deb25a30-0877-41bf-9bd2-b28000e5fb15,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW GOPRO HERO 4K ACTION CAMERA (BOX SEALED) (EAN: 810116381869).,45,50,40 GBP - 60 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:08 GMT",As new GoPro Hero 4K Action Camera (Box sealed) (EAN: 810116381869).,['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/62efbe18-004e-42d6-85c2-b28101041181.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-9df6e005-1f95-45f3-bb5f-b28000e5fe9a,25.00,20.00,,TRUE,TRUE,TRUE
"AS NEW IPAD 8TH GEN 10.2"" (WI-FI + CELLULAR/ A2429) 32GB IN SPACE GREY (EAN: 190199808980) (SEALED,",60,65,50 GBP - 70 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:08 GMT","As new iPad 8th Gen 10.2"" (Wi-Fi + Cellular/ A2429) 32GB in Space Grey (EAN: 190199808980) (Sealed, some damage to packaging) and an as new Tucano Up Plus Folio Case (EAN: 8020252116320).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/9f27b737-b546-453d-8a1e-b28101041212.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-320b424c-9303-4da1-b124-b28000e5ff10,25.00,20.00,,TRUE,TRUE,TRUE
"AS NEW DELL INSPIRON 15 3520 LAPTOP WITH INTEL CORE I3-1215U, INTEL UHD GRAPHICS, 8GB RAM, 256GB SSD",50,55,50 GBP - 70 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:09 GMT","As new Dell Inspiron 15 3520 Laptop with Intel Core i3-1215U, Intel UHD Graphics, 8GB RAM, 256GB SSD, Windows 11 Home (Box open. UK charger included) (EAN: 5397184852491 S/N: 5NTN754).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/d1ca562b-75ab-40e4-b567-b281010413cf.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-d9b4920b-ce7e-43a6-8c48-b28000e600ed,25.00,20.00,,TRUE,TRUE,TRUE
"PRE-OWNED ASUS VIVOBOOK GO E1504FA 15.6"" LAPTOP WITH AMD RYZEN 5 7520U PROCESSOR, 8GB RAM, 512 GB SS",40,45,40 GBP - 60 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:09 GMT","Pre-owned ASUS Vivobook Go E1504FA 15.6"" Laptop with AMD Ryzen 5 7520U Processor, 8GB RAM, 512 GB SSD, Windows 10 Home (S/N: R4N0CV09Z916165) (Boxed, no charger included).",['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/db9f7beb-eb34-4a65-92a0-b2810104148e.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-34f65593-e8d4-4fde-878d-b28000e6017d,25.00,20.00,,TRUE,TRUE,TRUE
AS NEW HP USB-C G5 DOCKING STATION (BOX OPEN) (P/N: 5TW10AA#ABB EURO EAN: 193905208531),25,30,25 GBP - 45 GBP,Unknown,"Bidding ends:
18 Feb 2025 12:11 GMT",As new HP USB-C G5 Docking Station (Box open) (P/N: 5TW10AA#ABB EURO EAN: 193905208531),['https://portal-images.azureedge.net/auctions-2025/ibbc10376/images/ff862e85-efb3-4c62-bdbb-b281010418a8.jpg?w=540&h=360'],https://www.i-bidder.com/en-gb/auction-catalogues/bcva/catalogue-id-ibbc10376/lot-f9f0656b-014d-4bc0-972b-b28000e60421,25.00,20.00,,TRUE,TRUE,TRUE
